text,sentiment
I experienced this emotion when my grandfather passed away.,sadness
" when I first moved in , I walked everywhere . But within a week , I had my purse stolen — just a block away from the police station ! Now , I always take public transportation . ",neutral
"` Oh ! "" she bleated , her voice high and rather indignant . ",anger
"However , does the right hon. Gentleman recognise that profound disquiet has been expressed about some of the proposals in the Bill , particularly the fast-track ones ? ",fear
My boyfriend didn't turn up after promising that he was coming.,sadness
 It's freezing . ,neutral
" That ’ s not all ! I also had to finish writing a sales report for my boss . In the end , I finished everything . I wonder what will be waiting for me tomorrow morning . ",sadness
 I don't have a warrant . ,anger
 I guess so . ,neutral
 I was just robbed ! ,sadness
 This is it ? ,neutral
" Well , do you think I have to ? ",neutral
"They seemed anxious and hesitant about leaving , as if uncertain of which direction to take . ",fear
I experienced anger most recently when I had committed a sin which I had gone a week and a half without doing. I had made a vow to God and had blown it. Now I had to start all over.,anger
" cars might be convenient , but they're so bad for the environment . ",neutral
When a close friend of mine who was with me in first year could not make it to the second year.,sadness
 No . Only a few pounds . But my passport was in the bag . That ’ what I ’ m really worry about . ,sadness
 For what ? ,neutral
"Her headache seemed to be getting worse and worse , and Raffaella 's command of English slipped as she grew increasingly excited . ",joy
"A leader is a coach, not a judge.  #lean #systemsthinking #development #HR",fear
I was very happy when my scholarship to continue studying at university was approved after it had been cancelled.,joy
"Being alone in Europe and having to catch a train and bus to the airport, then board the plane alone.",fear
Manufacturers could play on the excitement of a commentary to sell their sets . ,joy
"` You 're angry I 'm here , aren't you ? "" ",anger
 See you then . ,joy
" Yes , he was . I'm not imagining it.Finally , just when I got home , I turned around and looked at him.He was just standing there . He didn't smile . He just stood there . It was so obvious.What should I do ? I'm so scared . Can I call the police ? ",fear
 What ? ,neutral
 Merry Christmas . Steven ! ,joy
"When during a social evening with my father, brother, sister, close friend and my father's 2nd wife - I had an argument with my father, who abused my friend who was sticking up for me.",anger
You won ’ t believe who ’ s been elected to do overtime on the Baker account ! Me ! I ’ Ve already logged in 20 hours of overtime ! ,anger
Having passed the exam required to be an authorized Radio/TV dealer.,joy
Hi ! Tom . Want to go to play bowling tonight ? ,joy
I got a good reaction from my tutor and tutorial group for a presentation I'd given that I was very worried about.,joy
 The Redskin ’ s quarterback just threw a touchdown pass for seven points . We ’ re losing again . ,sadness
My boyfriend breaking up with me about 7 months after I had an abortion. Just the fact that he was ignoring me and continued to do so.,anger
"The same fact about the girl (22 years, married - guilt - disgust), the fear was the main factor in our relationship.",fear
I was scared when I realized that I might miss the train which I was supposed to take.  I was 1500 Kilometres away from home and when  I heard the depart whistle I was still 150 feet away from the train.  I finally made it.,fear
A 16-year-old girl works herself into a frenzy of grief for a friend killed by right-wing vigilantes . ,sadness
Leading scorer Paul Wilkinson struck his 20th goal of the season against his former club but looked glum as he left the dressing room . ,sadness
Hello ? ,neutral
"She looked a little less resentful than earlier , and -- dare he hope it ? -- even slightly anxious for him . ",anger
Family member survived an operation.,joy
 I got it . Do you pay for the programs ? ,neutral
"My anger is with men, their inability to be human (not all men).",anger
 OK . ,neutral
"A fellow player, quite unexpectedly, scores a goal, which means a draw.",joy
 I didn't like her butting in where I didn't want her . She's a chatter box . ,anger
A friend of mine got pregnant anf failed the first year at university.  The boyfriend refused his responsibility and they ended up in court.,sadness
 Why ? ,neutral
 But she lied to me . ,anger
"Life is short, live it.  is rare, grab it. Anger is bad, dump it. is awful, face it. #Memories are sweet, cherish them.",fear
Good if you are nervous about making a permanent change . ,fear
" Um , well let's see ... I'm from Kansas originally . A much quieter and more peaceful place than here , that's for sure ! ",neutral
"` I 'm gratified to find you so concerned for my welfare , Li Yuan . ",fear
"His marriage to Osthryth , the sister of King Ecgfrith , inhibited him from bestowing royal favour on Wilfrid until Archbishop Theodore engineered a reconciliation of offended parties in 686 . ",anger
"As she poured coffee for Jenny and Paul , she felt unbearably sad . ",sadness
One time I set up my journey at night going to a certain bar. On the way I met my friends and they told me that two people had died because of heavy fighting. I proceeded on but with fear.,fear
When I first passed a job interview.,joy
And she was furious that Mr Clarke did not break the news to her before holding a Press conference . ,anger
 All right . But what was the trouble ? ,neutral
 That ’ s right . I have a lot to learn from you . ,joy
We lived with 3 persons in the loft of a house. It often occurred that other persons again and again climbed the stairs with much noise. When I was studying I couldn't concentrate and got angry.,anger
When I entered at the University.,joy
Why aren ’ t they are aware of the gravity of the situation ? ,anger
" But why were you getting off work so late ? The office close at six , doesn't it ? ",anger
all this  news has made me very nervous whenever i see a cop.  even a friendly cop in the mall.  i hate that.  ,fear
Cant decide what shirt to wear tonight. ,fear
" And my first nephew . He looks a lot like you , mum . He does . ",joy
"Reflecting on the experience , Donia said : `` I think you 're exhilarated by the determination and strength of the human spirit . ''",joy
 I'll see you at the airport at 12 thirty P . m . ,fear
 Crazy is too kind . Insane is more like it . Nuts ! Wacko ! Psycho ! ,anger
When I came to know that my grandmother had died.  She was very close to me.,sadness
"It was a complex situation concerning a relationship with a boyfriend, I had broken the relationship for some reasons. Meanwhile, as I felt it, I had most sorrow.",sadness
"My mother, sister and I were thinking about old times, our childhood, and we had a very happy time.",joy
Hello ? ,neutral
 Well ... ,neutral
But Richard 's elation at regaining his health was short lived because his kidneys started to fail . ,joy
Nightmare about war. Freaked the fuck right out of me.  #loathing #ffs #sake #fuck #sake,fear
"Her father was cross with her , if not downright angry , and she felt like weeping inside . ",anger
Once again my parents distroyed a relationship.,anger
When I got the scholarship letter from Australia.,joy
" Sorry , I don ’ t quite follow you . ",neutral
Last Summer in Italy I was attacked by a dog.It was terrible to feel that untidy dirty dog against my naked skin.,fear
 I am sorry . I am very tired . I'm going to bed early . ,sadness
I had a dream in which I was an African elephant.,fear
 No ! I said I was going to cut down which is very different . You can ’ t just expect me to go cold turkey overnight ! ,neutral
"I made an appointment with a friend to drink coffee togehter. However, for the third time in that week she arrived an hour too late.",anger
There is only one thing that makes a  impossible to achieve: the of failure.,fear
"` What is it ? "" asked the eight-year-old , delighted that he had somehow managed to amuse this mature woman of nineteen . ",joy
"Lineker became incensed when Taylor went public , not only questioning whether Lineker should remain as captain , but whether his form justified a place in the side -- even though he was maintaining his phenomenal strike rate . ",anger
 You won ’ t believe who ’ s been elected to do overtime on the Baker account ! Me ! I ’ Ve already logged in 20 hours of overtime ! ,anger
" Ur , you really let me down . ",anger
"He said nothing , and from the anger on his face she saw that he didn't think he owed her a reply . ",anger
 See you later ! Drive carefully . ,joy
"When I heard that I had passed my MCE Exam, I spent the whole day dancing and eating sugarcanes from our garden.",joy
 Why did you tell me to get off ? ,sadness
" So , want me to book the tickets again ? ",joy
"Ian Fleming 's superhero first appeared in Issue 4 of ZZAP ! , much to the dismay of the reviewing team . ",fear
"Fights that I see in the middle of the street, robberies, fear of darkness when going home.",fear
Are you allowing to sabotage Your Empowering #Success ? Give it back! 2 Timothy 2:7 #queeninyou,fear
The time I learnt that I had passed my Malawi School leaving Certificate Examinations.,joy
"As he released his anger , he felt his love for his ex-wife , and wept over their divorce . ",anger
I felt joy when I passed the worst phase in my life and discovered how many people considered me important to them.,joy
 Thank you . ,neutral
 My hair looks hideous . ,anger
 Eight . ,neutral
If she 's so anxious about my welfare and morals it 's a wonder she hasn't come stamping up here to check out the situation for herself . ,fear
Lucy sent him a resentful glance while adding an explanation for her presence . ,anger
 High ? ,neutral
 Really going to miss you . ,joy
 What a pity ! ,sadness
Melanie was shocked to see the horror on her aunt 's face . ,fear
 No ... not really . The sad thing is that I wasn't there when she died . I really wanted to be there one last time . ,sadness
 Why not ? ,neutral
"Thus the dialogue and its frame emphasize the bond between the two of them , and thereby further underline the horror of the sacrifice of which they speak . ",fear
" Mary , don't move . Stand right there . It's a good shot . The background is very pretty . ",joy
 You got it . ,neutral
 so what ? ,neutral
That was what I felt with a teacher who put down quite unreal marks.,anger
When someone took my writing materials yet I was to write Examinations in a few minutes.,anger
She was shortish and had an attractive way of cocking her head on one side and looking up with big dark eyes and a wryly amused smile . ,joy
"@OMcGee82 I felt fine this morning, blatantly due to still being pissed, then my condition rapidly deteriorated.  ",fear
 I am happy that you like the house . We should write down what we like so that we can remember it . ,fear
Almost every month it seems as though some sad parent on the local news is bemoaning the loss of their teenager who died in this way . ,sadness
 It's really there ? This all seems so surreal-like it's all one big nightmare . ,sadness
" Hello sir . Good to meet you , too . ",joy
 Thank you . ,joy
"I was going away, leaving a dear person behind.",sadness
 Ok . ,neutral
"Recently my younger brother disappeared for two days without leaving a trace. Usually he tells me when he wants to do something like that, therefore I was afraid that something had happened to him.",fear
"Getting a terrible exam mark, which I couldn't understand the reason for, and trying to see a lecturer or tutor, but being given the runaround.",anger
" Yes , that's true . Damn ! I just lost half my paper , and now I can't even do my homework.This is a bad time for this to happen . ",anger
Meeting generally dominating persons in social occasions.,anger
"I wanted to clear up a misunderstanding with a friend that I had caused. A third person meddled in our conversation, turned my efforts to ridicule so that I did not succeed in what I had intended.",anger
"I went singing with a group of young people on January 6th (The three Magi), a local custom called \star singing\"". One of the girls, my girlfriend, broke the star. Being the accompanying person, I felt very angry thinking of the consequences.""",anger
" Sorry , sir , we are having a sale now . ",sadness
"Look , Forest Gump is on at six thirty . ",joy
I am a kindergarten teacher and I am thoroughly weary of my job.  After having taken the university entrance exam I suffered from anxiety for weeks as I did not want to carry on with my work - studies were the only alternative. ,fear
Finished a difficult midterm.,joy
 OK . Bye ! ,joy
"I was in the dark room, it's insecure and has holes covered with wooden sheets in the roof the establishment had already been assaulted and could be assaulted again.",fear
He felt a bit worried at this and started to question her . ,fear
Do you know how late it is ? ,anger
 I ’ m not in the mood . ,sadness
My boyfriend is a soldier. He was on a leave. I felt sad when we had to get separated again.,sadness
"` But my chairman and vice-chairman have given me another year 's contract , and I 'm absolutely delighted to be staying at Nottingham Forest . ",joy
 That's too bad.What kind of accident is it ? Are you all right ? ,sadness
When my mum's brother passed away after having been involved in a car accident.   He was bringing me a present as I had passed my form five exams with flying colours.,sadness
When my grandmother died. I had lived with her for ten years.,sadness
After having quarelled with a relative of mine about politics.,anger
